#Date         	Wt	W     H	R	B	S	Y	G	P	Tags
01/01/2020      211.0 80     0      0      0      0      0      0      0
01/02/2020      210.2 20     0      0      0      0      120   0      0
01/03/2020      210.2 20     0      0      0      0      120   0      0
01/04/2020      209.2 20     0      0    100     0     0      0      0
01/05/2020      210.2 20     0      0    100     0     0      0      0
01/10/2020      212.2 100     0      0      0     0     0      0      0
01/11/2020      212.2 100     0      0      0     0     0      0      0
01/12/2020      212.2 133     0      0      0     0     0      0      0
01/14/2020      212.2 227     0      0      0     0     0      0      0
01/16/2020      212.2 151     0      0      0     0     0      0      0
01/17/2020      212.2 335     0      0      0     0     0      0      0
01/18/2020      212.2 160     0      0      0     0     0      0      0
01/19/2020      212.2 105     0      0      0     0     0      0      0
01/20/2020      212.2 60     0      0      0     0     0      0      0
01/22/2020      212.2 50     0      0      0     0     0      0      0
01/23/2020      212.2 50     0      0      0     0     0      0      0
01/24/2020      212.2 80     0      0      0     0     0      0      0
01/25/2020      209.2 30     0      0     100     0     0      0      0
01/26/2020      209.2 45     0      0     0     0     0      0      0
01/27/2020      209.2 35     0      0     0     0     0      35      0
01/28/2020      209.2 15     0      0     120     0     0      0      0
01/29/2020      209.2 30     0      20    0     0     0      40      245
#Date              Wt   walk hike run  bike swim yard gym   pressB
02/03/2020      208.2 20     0      20     0     0     0      40     255
02/04/2020      207.8 20     0      20     0     0     0      40     245
02/06/2020      207.8 60     0      0     0     0     0        0     0
02/07/2020      206.0 40     0      10     0     0     0      30     255
02/08/2020      206.0 45     0      0     0     0     0        0     0
02/09/2020      206.0 90     0      0     0     0     0        0     0
02/13/2020      207.0 20     0      0     10     0     0        0     0
02/14/2020      207.0 80     0      5     0     0     0        30    245
02/15/2020      207.0 90     0      5     0     0     0        0    0
02/16/2020      207.0 120   0      0     0     0     0        0    0
02/17/2020      205.8 75     0      30     0     0     0        0    0
02/18/2020      205.8 30     0      30     0     0     15        0    0
02/19/2020      205.8 30     0      0     0     0       30        0    0
02/20/2020      205.8 60     0      0     0     0       30        0    0
02/21/2020      205.8 60     0      0     0     0       30        0    0
02/22/2020      205.8 60     0      0     0     0       30        0    0
02/23/2020      205.8 30     0      0     0     0       30        0    0
02/24/2020      205.8 30     0      0     30     0       0        30    245
02/25/2020      205.8 70     0      0     0     0       0        0    0
02/27/2020      205.8 70     0      0     0     0       0        0    0
#Date              Wt   walk hike run  bike swim yard gym   pressB
03/01/2020      208   100     0      0     0     0       0        0    0
03/02/2020      208   30     0      0     0     0       0        35    235
03/03/2020      208   30     0      0     0     0       0        35    245
03/04/2020      207.5   30     0      0     30     0       0      35    225
03/05/2020      207.5   50     0      0     0     0       20      0    0
03/09/2020      207.5   30     0      0     0     0       120      0    0
03/10/2020      207.5   30     0      0     0     0       120      0    0
03/11/2020      207.5   30     0      0     0     0       120      0    0
03/12/2020      207.5   30     0      0     0     0       20      0    0
03/13/2020      207.5   30     0      0     0     0       20      0    0
03/15/2020      210.5      90     0      0     0     0       0      0    0
03/16/2020      209      90     0      0     0     0       0      0    0
03/17/2020      207.8      90     0      0     0     0       0      0    0
03/18/2020      207.8      80     0      0     0     0       0      0    0
03/19/2020      207.8      20     0      0     0     0       0      0    0
03/20/2020      207.8      20     0      0     0     0       0      0    0






